side,margin_c,qty_exact_c,fee_exact_c,entry_exact_c,entry_bar_c,exit_bar_c,entry_dt,exit_dt_c,entry_price_c,exit_price_c,pnl_pct_c,pnl_c,reason_code_c,bars_held_c,mfe_pct_c,mae_pct_c,gk_pctile_c,regime_code_c,funding_c,funding_low_c,funding_high_c,net_c,margin_b,qty_exact_b,fee_exact_b,entry_exact_b,entry_bar_b,exit_bar_b,exit_dt_b,entry_price_b,exit_price_b,pnl_pct_b,pnl_b,reason_code_b,bars_held_b,mfe_pct_b,mae_pct_b,gk_pctile_b,regime_code_b,funding_b,funding_low_b,funding_high_b,net_b,_merge
L,200.0,1.5054244970310424,4.0,2657.0578649999998,555.0,558.0,2024-10-01 15:00:00,2024-10-01 18:00:00,2657.06,2632.88,-0.91,-40.39,ACX,3.0,0.0,-0.901,8.1,MILD_UP,-0.3981531655502731,-0.3981531655502731,-0.3981531655502731,-40.78815316555028,200.0,1.5054244970310424,4.0,2657.0578649999998,555.0,562.0,2024-10-01 22:00:00,2657.06,2578.43,-2.959,-122.37,MH,7.0,0.0,-3.458,8.1,MILD_UP,-0.3981531655502731,-0.3981531655502731,-0.3981531655502731,-122.76815316555027,both
L,200.0,1.68210814610534,4.0,2377.96839,622.0,629.0,2024-10-04 10:00:00,2024-10-04 17:00:00,2377.97,2379.03,0.045,-2.21,BE,7.0,0.609,-0.756,16.2,DOWN,-0.1497223678402218,-0.1497223678402218,-0.1497223678402218,-2.359722367840222,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.6338377603188596,4.0,2448.2235,730.0,735.0,2024-10-08 22:00:00,2024-10-09 03:00:00,2448.22,2434.29,-0.569,-26.76,MH,5.0,0.289,-1.969,10.1,DOWN,-0.331002889470344,-0.331002889470344,-0.331002889470344,-27.091002889470346,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.6243386649793201,4.0,2462.540655,742.0,745.0,2024-10-09 10:00:00,2024-10-09 13:00:00,2462.54,2442.78,-0.803,-36.1,ACX,3.0,0.0,-1.01,19.2,DOWN,0.0,0.0,0.0,-36.1,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.5759892304145544,4.0,2538.08841,1305.0,1307.0,2024-11-01 21:00:00,2024-11-01 23:00:00,2538.09,2560.72,0.892,31.67,MFE,2.0,1.961,-0.318,17.2,SIDE,0.0,0.0,0.0,31.67,200.0,1.5759892304145544,4.0,2538.08841,1305.0,1307.0,2024-11-01 23:00:00,2538.09,2560.72,0.892,31.67,MFE,2.0,1.961,-0.318,17.2,SIDE,0.0,0.0,0.0,31.67,both
L,200.0,1.6369685379066827,4.0,2443.54116,1396.0,1399.0,2024-11-05 16:00:00,2024-11-05 19:00:00,2443.54,2433.44,-0.413,-20.53,ACX,3.0,0.154,-0.588,9.1,SIDE,0.0,-0.3998152220673049,0.0,-20.53,200.0,1.6369685379066827,4.0,2443.54116,1396.0,1402.0,2024-11-05 22:00:00,2443.54,2439.97,-0.146,-9.85,MH,6.0,0.164,-0.588,9.1,SIDE,0.0,-0.3998152220673049,0.0,-9.85,both
L,200.0,1.5176826303582953,4.0,2635.59714,1428.0,1435.0,2024-11-07 00:00:00,2024-11-07 07:00:00,2635.6,2734.9,3.768,146.71,TP,7.0,4.19,-0.074,14.1,SIDE,0.0,-0.39980609134672235,0.0,146.71,200.0,1.5176826303582953,4.0,2635.59714,1428.0,1435.0,2024-11-07 07:00:00,2635.6,2734.9,3.768,146.71,TP,7.0,4.19,-0.074,14.1,SIDE,0.0,-0.39980609134672235,0.0,146.71,both
L,200.0,1.3669360875482512,4.0,2926.252395,1471.0,1475.0,2024-11-08 19:00:00,2024-11-08 23:00:00,2926.25,2912.0,-0.487,-23.48,MFE,4.0,1.085,-0.615,2.0,MILD_UP,0.0,0.0,0.0,-23.48,200.0,1.3669360875482512,4.0,2926.252395,1471.0,1475.0,2024-11-08 23:00:00,2926.25,2912.0,-0.487,-23.48,MFE,4.0,1.085,-0.615,2.0,MILD_UP,0.0,0.0,0.0,-23.48,both
L,200.0,1.2692026372932943,4.0,3151.585005,1784.0,1785.0,2024-11-21 20:00:00,2024-11-21 21:00:00,3151.59,3286.41,4.278,167.12,TP,1.0,5.376,-0.097,6.1,DOWN,0.0,0.0,0.0,167.12,200.0,1.2692026372932943,4.0,3151.585005,1784.0,1785.0,2024-11-21 21:00:00,3151.59,3286.41,4.278,167.12,TP,1.0,5.376,-0.097,6.1,DOWN,0.0,0.0,0.0,167.12,both
L,200.0,1.1753122747784899,4.0,3403.350825,1876.0,1879.0,2024-11-25 16:00:00,2024-11-25 19:00:00,3403.35,3502.82,2.923,112.9,TP,3.0,3.778,-0.133,22.2,MILD_UP,0.0,-0.9569243523403145,0.0,112.9,200.0,1.1753122747784899,4.0,3403.350825,1876.0,1879.0,2024-11-25 19:00:00,3403.35,3502.82,2.923,112.9,TP,3.0,3.778,-0.133,22.2,MILD_UP,0.0,-0.9569243523403145,0.0,112.9,both
