side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars,rsi_entry,atr_pctile_entry
short,116777.89104300001,2025-10-01 12:00:00+00:00,116721.75,2025-10-01 12:05:00+00:00,adaptive_trail,0.14023120784668686,True,1,69.45838523668209,8.875475561075936
short,117377.251101,2025-10-01 14:20:00+00:00,117377.251101,2025-10-01 14:35:00+00:00,breakeven_sl,-0.5306490247622686,True,3,64.44397379653569,69.2276482392937
short,117194.959332,2025-10-01 14:05:00+00:00,117443.22647485715,2025-10-01 15:25:00+00:00,stop_loss,-5.8368228850839206,False,16,60.97502433226672,44.11615081879299
short,117846.2142,2025-10-01 22:10:00+00:00,117782.54217398613,2025-10-01 22:45:00+00:00,breakeven_sl,0.26989393375832027,True,7,54.30416087492013,19.129059592427833
short,118347.174099,2025-10-01 23:20:00+00:00,118347.174099,2025-10-01 23:30:00+00:00,adaptive_trail,-0.6514955397225115,True,2,76.33512855346629,56.36268379630995
short,118334.335383,2025-10-01 23:25:00+00:00,118334.335383,2025-10-01 23:30:00+00:00,adaptive_trail,-0.6348314523510133,True,1,76.33512855346629,56.36268379630995
short,118340.74474200001,2025-10-01 23:30:00+00:00,118340.74474200001,2025-10-01 23:40:00+00:00,breakeven_sl,-0.6293255593018836,True,2,64.7353788950098,71.24007699228656
short,119048.42396700001,2025-10-02 00:05:00+00:00,119372.13253842859,2025-10-02 00:10:00+00:00,stop_loss,-7.038267230119905,False,1,84.68518612132358,100.0
short,119377.701036,2025-10-02 00:10:00+00:00,118710.06882843445,2025-10-02 01:40:00+00:00,breakeven_sl,9.588275708600246,True,18,55.652867622654796,55.74209673754284
short,119068.59195,2025-10-02 12:25:00+00:00,119194.53195,2025-10-02 12:35:00+00:00,stop_loss,-3.715419321543465,False,2,74.88095216912994,55.72115628005776
short,119068.621947,2025-10-02 12:30:00+00:00,119199.50980414286,2025-10-02 12:35:00+00:00,stop_loss,-3.798528126093731,False,1,74.88095216912994,55.72115628005776
short,119148.084,2025-10-02 12:35:00+00:00,119289.59078571429,2025-10-02 12:40:00+00:00,stop_loss,-3.975309463042407,False,1,76.9299288423966,67.97602581834884
short,119208.997908,2025-10-02 12:40:00+00:00,119362.62790800001,2025-10-02 12:50:00+00:00,stop_loss,-4.177489999849998,False,2,78.0894555162339,98.08175515331772
short,119749.383864,2025-10-02 13:55:00+00:00,119749.383864,2025-10-02 14:30:00+00:00,breakeven_sl,-0.574911642312616,True,7,65.94741623343107,97.277971422165
long,118585.64737899999,2025-10-02 15:05:00+00:00,119949.57626919581,2025-10-02 16:10:00+00:00,adaptive_trail,20.253903041160633,True,13,65.87040976974183,84.58348438066436
short,120858.90290100001,2025-10-02 19:10:00+00:00,120858.90290100001,2025-10-02 19:55:00+00:00,breakeven_sl,-0.5358939001096797,True,9,56.40811007620529,65.32684146252032
short,120996.579132,2025-10-02 19:15:00+00:00,120553.42628418794,2025-10-02 20:55:00+00:00,breakeven_sl,6.050548809776239,True,20,47.36054999846031,33.949692477527314
long,119350.83389,2025-10-03 08:20:00+00:00,120102.60678571429,2025-10-03 09:20:00+00:00,adaptive_trail,10.63421302877542,True,12,58.23712457547502,86.75174430264406
short,121374.57132900001,2025-10-03 15:25:00+00:00,121755.24240042859,2025-10-03 15:35:00+00:00,stop_loss,-7.872665967185485,False,2,74.9598829294817,95.95395364820136
short,121742.42454,2025-10-03 15:35:00+00:00,122116.88775428572,2025-10-03 15:50:00+00:00,stop_loss,-7.751729205338451,False,3,74.25158378289697,91.71340801760667
short,122728.095963,2025-10-03 16:05:00+00:00,123172.49667728572,2025-10-03 16:10:00+00:00,stop_loss,-8.84203713581107,False,1,84.44847723113597,100.0
short,122800.388733,2025-10-03 16:10:00+00:00,123273.61730442857,2025-10-03 16:15:00+00:00,stop_loss,-9.307281325590754,False,1,86.43583441171626,100.0
short,123110.91767699999,2025-10-03 16:15:00+00:00,123616.54624842857,2025-10-03 16:25:00+00:00,stop_loss,-9.814195474607207,False,2,86.50965753972467,100.0
long,121712.17,2025-10-04 01:55:00+00:00,121900.045176523,2025-10-04 02:00:00+00:00,adaptive_trail,2.0542801418763634,True,1,40.13929098540537,8.665781429783939
long,122010.229803,2025-10-04 11:20:00+00:00,122018.64241747902,2025-10-04 11:25:00+00:00,adaptive_trail,-0.6508026581615026,True,1,28.695331964870974,29.93875141228386
long,122011.15989600001,2025-10-04 11:25:00+00:00,122026.8553718784,2025-10-04 11:55:00+00:00,breakeven_sl,-0.5451301682902131,True,6,37.609864723944774,43.251047787110814
short,122451.183657,2025-10-04 13:10:00+00:00,122445.77891709805,2025-10-04 14:15:00+00:00,breakeven_sl,-0.6724913919017342,True,13,61.261381670677046,60.081817634909484
long,121914.89026999999,2025-10-04 15:15:00+00:00,121768.4634842857,2025-10-04 15:20:00+00:00,stop_loss,-4.002114875221535,False,1,29.76263071829557,100.0
long,121823.39112100001,2025-10-04 15:25:00+00:00,121823.39112100001,2025-10-04 15:55:00+00:00,breakeven_sl,-0.699503347564239,True,6,40.046415826272224,100.0
long,121746.113394,2025-10-04 15:30:00+00:00,121746.113394,2025-10-04 15:55:00+00:00,breakeven_sl,-0.6969938645829294,True,5,40.046415826272224,100.0
short,122315.087268,2025-10-04 21:30:00+00:00,122315.087268,2025-10-04 21:35:00+00:00,adaptive_trail,-0.766489881909834,True,1,73.62566131820934,11.50064923020033
short,122224.466331,2025-10-04 21:25:00+00:00,122329.00240242857,2025-10-04 21:40:00+00:00,stop_loss,-3.3105588523572025,False,3,67.00857621737009,16.11865185938066
short,122309.797797,2025-10-04 21:35:00+00:00,122298.06976383172,2025-10-04 21:45:00+00:00,adaptive_trail,-0.5973743322533027,True,2,69.82253256830326,19.216407377837687
short,122841.624609,2025-10-05 02:30:00+00:00,122959.18175185715,2025-10-05 02:35:00+00:00,stop_loss,-3.5139626853897727,False,1,92.54828510521529,100.0
short,123819.226839,2025-10-05 02:40:00+00:00,123799.19,2025-10-05 02:50:00+00:00,adaptive_trail,-0.2629481609677189,True,2,75.86441366075928,100.0
short,124119.18684000001,2025-10-05 02:35:00+00:00,124038.52678571429,2025-10-05 02:55:00+00:00,breakeven_sl,0.5624990733367454,True,4,73.10123820294196,100.0
short,125272.57149,2025-10-05 04:50:00+00:00,125272.57149,2025-10-05 05:05:00+00:00,adaptive_trail,-0.4763601656884978,True,3,77.33866292848754,67.21532762075817
short,125352.37350900001,2025-10-05 04:55:00+00:00,125352.37350900001,2025-10-05 05:05:00+00:00,adaptive_trail,-0.4493864658449874,True,2,77.33866292848754,67.21532762075817
short,125400.238722,2025-10-05 05:05:00+00:00,125049.33790916172,2025-10-05 06:40:00+00:00,breakeven_sl,4.607948360793048,True,19,50.38970245205803,33.70062695614127
